PROBEID,SYMBOL
1559993_at,SFXN3
200821_at,LAMP2
201940_at,CPD
201941_at,CPD
201942_s_at,CPD
201943_s_at,CPD
203041_s_at,LAMP2
203042_at,LAMP2
206067_s_at,WT1
206989_s_at,SCAF11
209376_x_at,SCAF11
209892_at,FUT4
209893_s_at,FUT4
213850_s_at,SCAF11
216953_s_at,WT1
218499_at,STK26
218669_at,RAP2C
222391_at,TMEM30A
224407_s_at,STK26
225336_at,SCAF11
226671_at,LAMP2
232591_s_at,TMEM30A
235579_at,SCAF11
201147_s_at,TIMP3
201148_s_at,TIMP3
201149_s_at,TIMP3
201150_s_at,TIMP3
201904_s_at,CTDSPL
201905_s_at,CTDSPL
201906_s_at,CTDSPL
202599_s_at,NRIP1
202600_s_at,NRIP1
202766_s_at,FBN1
204187_at,GMPR
204304_s_at,PROM1
204612_at,PKIA
204753_s_at,HLF
204754_at,HLF
204755_x_at,HLF
204784_s_at,MLF1
205767_at,EREG
206471_s_at,PLXNC1
208614_s_at,FLNB
209493_at,PDZD2
210461_s_at,ABLIM1
210987_x_at,TPM1
226864_at,PKIA
238688_at,TPM1
