Geneid	CD34-HL60_SRR1283403	CD34-HL60_SRR4291626	CD34-HL60_SRR4291627	CD34-HL60_SRR8206650	CD34-HL60_SRR8206651	CD34-HL60_SRR8206652	CD34-HL60_SRR8206653	HL60_SRR13271948	HL60_SRR13271949	HL60_SRR13271950	HL60_SRR13287749	HL60_SRR2142314
ENSG00000284662	0	0	1	0	0	0	1	1	0	1	1	0
ENSG00000186827	547	2	24	3	13	450	209	3	3	4	1	79
ENSG00000186891	751	1	19	3	8	502	410	3	4	4	0	70
ENSG00000160072	1566	43	119	151	134	363	589	5240	4853	5133	1615	4591
ENSG00000041988	458	35	54	36	48	111	265	366	385	433	354	475
ENSG00000142611	628	22	50	4	37	113	18	0	0	0	0	5
ENSG00000067606	517	20	43	45	64	72	156	53	41	50	56	169
ENSG00000131584	2476	53	250	400	323	310	1554	1998	1609	1777	541	1547
ENSG00000169972	298	12	19	32	30	68	218	1019	1083	1011	314	1067
ENSG00000157911	512	15	41	27	25	87	141	590	567	636	357	656
ENSG00000224051	563	32	51	59	90	123	649	412	400	381	401	532
ENSG00000157933	1186	67	158	346	333	1084	2891	5581	5147	5283	1918	2721
ENSG00000162591	7401	141	532	242	391	305	1215	263	213	214	0	1606
ENSG00000169962	32	2	10	28	8	20	81	8	10	6	12	5
ENSG00000116285	18	3	0	18	6	45	686	31	29	25	254	43
ENSG00000142655	615	48	91	92	84	220	273	796	849	836	762	1262
ENSG00000149527	145	3	18	41	37	70	367	1	2	2	1	2
ENSG00000007923	981	127	172	125	98	315	255	3914	3460	4717	3552	4635
ENSG00000171621	28	5	1	4	13	270	23	13	16	16	44	79
ENSG00000162441	1113	201	269	267	265	503	564	2374	2307	3031	1258	3214
ENSG00000187017	5	0	1	1	5	51	51	3	0	5	0	8
ENSG00000173673	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000142583	4323	238	739	70	200	15	1061	1238	1114	1417	3341	1805
ENSG00000107404	2056	57	106	192	154	372	869	2922	2495	2366	1031	2449
ENSG00000177000	2118	268	321	843	403	886	1738	1309	1262	1528	1489	2261
ENSG00000069424	11525	472	1031	1934	1565	2209	12335	35288	32313	38039	17074	31424
ENSG00000074800	76681	4012	7094	4539	6568	10985	42986	144284	138164	173966	75643	197251
ENSG00000116786	3759	163	227	779	628	1885	2101	4994	4727	5279	2319	4632
ENSG00000176022	595	43	83	38	45	230	740	1367	1288	1354	1000	1532
ENSG00000162496	52	23	11	22	10	189	117	14	19	12	63	1
ENSG00000131686	2	0	0	1	1	10	19	0	0	0	11	0
ENSG00000162494	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173614	349	71	124	93	140	143	230	257	228	312	400	714
ENSG00000279804	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116273	470	22	66	92	156	287	384	1106	1001	1217	554	1185
ENSG00000162592	4	0	0	0	1	3	1	0	0	0	1	1
ENSG00000116254	29	6	10	3	2	7	24	11	13	15	24	54
ENSG00000049245	1889	310	296	829	725	600	971	2212	2086	2796	1632	2247
ENSG00000204624	4	1	0	1	3	0	11	1	2	1	2	2
ENSG00000171603	5268	291	434	643	546	1525	2307	5617	5395	6401	5569	8467
ENSG00000142606	59	0	2	4	0	7	28	2	1	2	0	1
ENSG00000177674	650	120	48	959	1279	509	2041	3230	2905	3402	1543	1563
ENSG00000162572	666	8	40	24	25	33	143	19	13	5	61	63
ENSG00000171608	5062	490	713	2811	3030	2277	5921	11521	11084	12985	4469	11447
ENSG00000171729	55	13	7	20	6	190	1981	0	0	0	110	1
ENSG00000175262	4	0	0	10	0	4	12	36	28	33	3	51
ENSG00000162571	316	7	80	3	18	14	11	1	1	1	0	31
ENSG00000158109	881	71	84	317	349	387	874	1571	1495	1873	1047	1082
ENSG00000037637	1416	201	300	310	275	426	1226	1376	1330	1706	901	1555
ENSG00000184163	18	0	3	16	8	21	123	12	13	10	7	20
ENSG00000159423	726	26	43	54	61	72	175	1587	1527	1719	1434	1245
ENSG00000142599	4986	334	753	1227	1267	1317	2538	2520	2330	2598	1520	2226
ENSG00000011021	1732	103	267	520	317	553	768	1582	1408	1858	684	2661
ENSG00000215912	129	7	9	18	11	19	36	1	3	7	3	7
ENSG00000120952	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243073	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142615	3	0	1	1	0	7	8	0	0	0	2	0
ENSG00000215704	13	1	6	4	3	6	17	0	0	0	0	3
ENSG00000065526	5805	674	1502	1844	1519	2807	3685	9977	10340	12336	3944	11454
ENSG00000175756	1176	43	54	257	290	302	1476	3881	3676	3499	1388	3250
ENSG00000157916	2002	159	274	529	553	982	2625	4440	3927	4968	1864	4006
ENSG00000157881	487	41	90	140	132	301	793	785	687	864	707	985
ENSG00000116213	709	45	94	196	125	179	365	1010	936	1107	759	1408
ENSG00000127463	1459	285	449	243	218	747	569	5462	5264	6775	3814	5588
ENSG00000048707	2642	614	1898	924	939	1100	1881	1857	2115	2363	1790	3293
ENSG00000158748	3	0	1	0	2	1	5	0	0	0	0	1
ENSG00000130762	52	0	2	0	2	12	12	0	0	0	0	6
ENSG00000187144	2	7	3	6	5	3	9	2	0	1	0	0
ENSG00000162444	0	6	0	162	99	1	69	5	7	2	0	4
ENSG00000279169	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180758	141	15	39	32	29	270	607	9	7	6	262	80
ENSG00000184677	3256	365	730	527	376	780	824	2822	2545	3420	1422	3356
ENSG00000132879	1022	31	32	123	94	204	711	289	244	307	0	211
