Geneid	CD34-PB_SRR1283403	CD34-PB_SRR4291626	CD34-PB_SRR4291627	CD34-PB_SRR8206650	CD34-PB_SRR8206651	CD34-PB_SRR8206652	CD34-PB_SRR8206653	PB-AML_SRR1663221	PB-AML_SRR1663222	PB-AML_SRR1663225	PB-AML_SRR1663229	PB-AML_SRR1663230	PB-AML_SRR1663231	PB-AML_SRR1663234	PB-AML_SRR1663239	PB-AML_SRR1663241	PB-AML_SRR1663244	PB-AML_SRR1663253	PB-AML_SRR1663259	PB-AML_SRR1663264	PB-AML_SRR1663268	PB-AML_SRR1663271	PB-AML_SRR1663273
ENSG00000284662	0	0	1	0	0	0	1	4	3	5	3	0	5	6	2	44	0	4	8	2	2	0	7
ENSG00000186827	547	2	24	3	13	450	209	25	866	69	22	29	54	119	30	286	1	13	13	646	52	105	33
ENSG00000186891	751	1	19	3	8	502	410	8	427	16	7	2	54	237	15	82	0	7	18	418	17	65	26
ENSG00000160072	1566	43	119	151	134	363	589	141	122	158	171	283	182	990	108	86	58	97	656	434	83	240	124
ENSG00000041988	458	35	54	36	48	111	265	77	31	51	62	102	109	75	44	65	49	64	54	72	49	47	119
ENSG00000142611	628	22	50	4	37	113	18	1	594	5	4	1221	398	5	317	186	1	487	253	525	2	592	18
ENSG00000067606	517	20	43	45	64	72	156	17	21	67	58	7	40	8	72	45	52	10	62	91	73	29	24
ENSG00000131584	2476	53	250	400	323	310	1554	260	118	366	247	600	59	212	268	53	230	200	396	286	567	341	408
ENSG00000169972	298	12	19	32	30	68	218	24	22	31	29	23	30	41	31	17	8	10	74	33	30	55	62
ENSG00000157911	512	15	41	27	25	87	141	27	48	20	53	82	40	65	52	23	25	35	127	80	78	84	30
ENSG00000224051	563	32	51	59	90	123	649	15	38	24	15	27	51	83	25	24	56	14	57	25	56	33	12
ENSG00000157933	1186	67	158	346	333	1084	2891	516	1042	710	962	796	996	515	343	340	265	1074	637	1729	920	675	286
ENSG00000162591	7401	141	532	242	391	305	1215	682	59	1082	1305	1843	173	302	363	66	578	320	1670	510	845	582	207
ENSG00000169962	32	2	10	28	8	20	81	10	10	10	9	16	14	45	10	9	14	7	25	54	18	12	17
ENSG00000116285	18	3	0	18	6	45	686	37	5	8	14	4	17	8	10	55	4	5	19	39	61	2	17
ENSG00000142655	615	48	91	92	84	220	273	89	92	78	76	148	110	212	141	66	199	116	130	87	177	104	99
ENSG00000149527	145	3	18	41	37	70	367	16	2	14	4	5	9	24	35	25	2	10	42	39	49	3	12
ENSG00000007923	981	127	172	125	98	315	255	155	132	162	194	163	139	335	161	87	191	109	374	125	192	234	103
ENSG00000171621	28	5	1	4	13	270	23	38	26	16	12	0	72	45	9	46	47	7	15	126	19	5	55
ENSG00000162441	1113	201	269	267	265	503	564	534	224	323	521	438	187	246	486	70	209	216	826	361	458	527	469
ENSG00000187017	5	0	1	1	5	51	51	4	4	8	1	5	4	4	6	38	5	3	0	2	12	0	4
ENSG00000173673	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000142583	4323	238	739	70	200	15	1061	339	828	577	322	269	750	34	130	758	5174	63	440	864	321	689	242
ENSG00000107404	2056	57	106	192	154	372	869	94	69	98	110	372	98	238	103	50	71	88	228	180	197	220	190
ENSG00000177000	2118	268	321	843	403	886	1738	244	441	298	256	704	750	520	544	318	707	480	718	639	661	539	1674
ENSG00000069424	11525	472	1031	1934	1565	2209	12335	1255	2609	1239	1349	2101	1177	982	1907	523	1463	1910	3192	1924	1810	2112	2509
ENSG00000074800	76681	4012	7094	4539	6568	10985	42986	9932	5438	5443	5696	9546	6009	9745	10048	4404	2206	4256	18124	11648	11247	13754	16074
ENSG00000116786	3759	163	227	779	628	1885	2101	869	1832	583	787	2180	1504	1755	1216	1436	923	2237	1293	2208	1833	1097	3012
ENSG00000176022	595	43	83	38	45	230	740	70	66	61	85	45	69	129	101	24	25	23	224	80	66	62	52
ENSG00000162496	52	23	11	22	10	189	117	63	142	11	38	37	577	116	115	292	1148	303	65	127	181	28	355
ENSG00000131686	2	0	0	1	1	10	19	5	5	8	0	2	10	6	0	19	8	2	4	1	11	3	2
ENSG00000162494	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	1	0	0	0	0	2
ENSG00000173614	349	71	124	93	140	143	230	39	52	72	88	44	28	25	43	34	32	30	70	39	46	44	58
ENSG00000279804	0	0	0	0	0	0	0	0	1	1	0	3	2	2	1	10	0	0	0	0	0	0	0
ENSG00000116273	470	22	66	92	156	287	384	99	114	67	60	157	222	199	138	89	231	134	101	137	309	105	434
ENSG00000162592	4	0	0	0	1	3	1	0	2	0	2	3	2	2	1	18	0	1	2	0	0	2	1
ENSG00000116254	29	6	10	3	2	7	24	21	8	38	31	88	10	23	246	54	5	72	11	10	52	207	10
ENSG00000049245	1889	310	296	829	725	600	971	1586	867	667	1032	1042	999	780	1471	414	626	1074	1318	1142	1680	793	2242
ENSG00000204624	4	1	0	1	3	0	11	3	2	3	1	3	2	1	2	31	3	1	2	1	6	1	0
ENSG00000171603	5268	291	434	643	546	1525	2307	678	447	576	516	421	589	1230	434	178	1280	351	1655	602	988	744	780
ENSG00000142606	59	0	2	4	0	7	28	5	2	9	5	23	4	7	4	18	0	19	6	4	1	7	14
ENSG00000177674	650	120	48	959	1279	509	2041	27	25	52	10	7	34	10	267	24	12	125	378	194	198	79	1314
ENSG00000162572	666	8	40	24	25	33	143	69	12	45	34	26	25	17	32	14	46	22	85	38	51	26	35
ENSG00000171608	5062	490	713	2811	3030	2277	5921	814	616	702	594	545	1834	1151	876	463	811	559	1387	686	1160	602	2355
ENSG00000171729	55	13	7	20	6	190	1981	10	199	9	40	58	31	140	45	39	17	53	3	197	25	38	50
ENSG00000175262	4	0	0	10	0	4	12	15	7	16	17	7	3	2	13	21	2	4	7	13	8	13	6
ENSG00000162571	316	7	80	3	18	14	11	2	22	2	3	1	9	43	13	27	0	14	46	183	5	20	6
ENSG00000158109	881	71	84	317	349	387	874	146	105	71	214	143	140	209	141	61	189	88	280	135	238	209	189
ENSG00000037637	1416	201	300	310	275	426	1226	1062	833	889	767	1337	1095	795	519	794	689	869	714	781	1121	725	793
ENSG00000184163	18	0	3	16	8	21	123	3	8	10	5	12	24	28	7	14	6	5	3	2	10	4	7
ENSG00000159423	726	26	43	54	61	72	175	53	19	39	31	60	19	156	33	30	7	29	339	80	40	66	122
ENSG00000142599	4986	334	753	1227	1267	1317	2538	1129	1160	1784	1683	1180	1923	2356	1295	598	6454	1004	1241	1083	1829	1146	850
ENSG00000011021	1732	103	267	520	317	553	768	424	318	296	373	609	474	609	538	259	943	404	403	401	445	371	520
ENSG00000215912	129	7	9	18	11	19	36	9	8	15	19	20	27	12	5	39	11	14	10	10	10	9	8
ENSG00000120952	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	12	0	1	0	0	0	0	2
ENSG00000243073	0	0	0	0	0	0	0	0	2	3	0	0	2	1	0	19	0	0	0	1	0	0	0
ENSG00000142615	3	0	1	1	0	7	8	5	2	3	4	4	8	8	3	15	2	7	3	3	12	0	15
ENSG00000215704	13	1	6	4	3	6	17	9	4	6	15	15	15	20	10	15	1	31	6	10	8	2	18
ENSG00000065526	5805	674	1502	1844	1519	2807	3685	8097	5856	5143	4852	9936	6584	6163	6188	2639	7755	8427	5499	5458	8839	4883	5669
ENSG00000175756	1176	43	54	257	290	302	1476	89	72	63	73	153	84	183	117	35	54	72	243	124	186	134	188
ENSG00000157916	2002	159	274	529	553	982	2625	522	454	425	543	640	348	634	405	247	312	452	807	477	378	435	356
ENSG00000157881	487	41	90	140	132	301	793	65	46	48	76	54	76	119	74	47	71	35	104	82	118	45	87
ENSG00000116213	709	45	94	196	125	179	365	66	103	74	94	126	163	76	85	40	39	61	138	81	114	111	116
ENSG00000127463	1459	285	449	243	218	747	569	1014	694	532	849	983	747	1094	831	535	545	861	1278	1059	1080	1052	487
ENSG00000048707	2642	614	1898	924	939	1100	1881	3029	3355	2552	3305	3286	4039	2543	2715	1891	2293	3097	3645	3596	3488	2631	3118
ENSG00000158748	3	0	1	0	2	1	5	3	1	13	12	5	7	6	7	13	5	10	16	9	10	5	12
ENSG00000130762	52	0	2	0	2	12	12	1	3	17	7	22	1	5	0	15	1	7	11	14	6	5	1
ENSG00000187144	2	7	3	6	5	3	9	43	63	34	71	56	77	116	97	46	41	52	61	61	88	42	47
ENSG00000162444	0	6	0	162	99	1	69	1	2	1	2	2	1	1	4	2	0	9	6	1	2	0	24
ENSG00000279169	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	36	1	0	0	0	0	0	1
ENSG00000180758	141	15	39	32	29	270	607	19	18	41	41	24	89	18	18	28	13	11	89	36	42	16	37
ENSG00000184677	3256	365	730	527	376	780	824	765	548	642	975	866	535	734	756	315	467	322	1254	627	580	712	495
ENSG00000132879	1022	31	32	123	94	204	711	27	64	34	33	24	47	30	67	39	106	49	49	84	67	69	64
ENSG00000187545	0	0	0	0	0	0	0	0	0	3	1	0	1	1	0	15	1	1	0	0	0	0	0
ENSG00000239810	0	0	0	0	0	0	0	2	1	1	0	1	0	4	0	20	0	2	0	0	0	1	5
ENSG00000116731	2691	286	536	1001	655	1059	1133	5016	9374	2029	3772	5295	3883	3051	3189	2847	2066	4830	2938	7931	4258	6823	1707
ENSG00000116721	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	25	0	2	0	0	0	0	6
ENSG00000131697	666	30	91	116	96	74	667	179	148	151	191	174	93	101	97	62	58	74	181	133	189	149	133
ENSG00000088280	53	3	0	7	8	21	18	5	5	9	0	5	14	8	8	37	10	2	1	8	24	1	11
ENSG00000188807	1330	39	68	30	71	122	203	114	53	93	163	169	121	206	75	57	85	71	226	86	130	142	34
ENSG00000198793	2784	385	916	407	400	871	598	1254	1601	863	1037	2020	1534	2146	1322	733	1304	1437	1870	1332	1532	1400	1003
ENSG00000078900	39	2	7	3	11	44	19	14	8	27	5	6	18	18	15	22	6	24	8	14	16	8	12
ENSG00000142661	1	0	0	0	0	0	0	1	2	4	3	4	8	1	1	67	0	4	1	0	1	1	10
ENSG00000171819	1	8	12	2	3	1	1	44	54	13	37	83	51	80	46	70	57	76	58	83	52	48	17
ENSG00000197921	2	0	0	0	1	8	15	1	0	1	1	1	1	1	0	1	1	0	0	0	0	1	0
ENSG00000116288	5672	279	363	605	530	1242	1157	654	387	361	452	536	329	402	508	174	160	237	1203	524	447	778	686
ENSG00000142677	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	25	0	0	3	2	2	0	4
ENSG00000131910	0	0	0	0	0	1	0	0	0	0	0	2	2	2	0	7	0	2	0	0	5	0	0
ENSG00000185436	5	1	0	172	34	297	92	6	1	4	5	5	32	12	7	47	6	13	14	15	30	3	16
ENSG00000131914	1	0	2	1	0	2	0	9	5	7	10	8	13	5	12	27	6	12	5	6	3	8	4
ENSG00000232423	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	33	0	0	0	0	0	0	2
ENSG00000169504	1735	258	332	525	403	2276	2004	3854	1874	868	2285	1055	833	737	495	946	1179	705	1690	2098	2066	1529	419
ENSG00000169641	3527	293	633	132	185	527	401	5561	2373	2699	5441	4098	2072	1644	2890	1336	2583	4060	3499	4675	3872	3097	801
ENSG00000181773	409	10	9	6	2	6	9	7	17	16	20	39	24	31	16	32	16	16	40	20	22	11	10
ENSG00000175707	0	2	0	1	0	5	5	2	7	6	2	3	7	7	4	6	3	7	4	5	19	4	4
ENSG00000233954	554	17	54	17	16	29	39	113	80	70	99	238	71	106	130	59	71	96	201	105	85	102	94
ENSG00000174950	5	0	0	0	0	0	0	0	0	2	2	3	1	1	1	6	0	0	2	0	2	0	1
ENSG00000055070	5699	352	386	797	571	1755	2756	1253	1619	676	896	1514	1003	1599	1786	877	877	1275	1469	1687	1814	1493	1695
ENSG00000175087	726	176	222	28	48	413	129	810	224	316	557	421	542	290	393	117	491	285	561	224	785	484	147
ENSG00000171735	595	57	77	151	92	291	204	407	307	184	276	322	297	263	318	172	275	323	437	329	355	232	257
ENSG00000157191	1571	269	278	770	526	1373	1760	409	843	314	302	387	524	354	436	233	404	322	494	312	767	473	720
ENSG00000133226	5659	407	726	981	768	1360	1296	2852	1778	1733	2382	2539	1961	1982	2546	930	3045	2602	2551	1781	3409	1646	1730
ENSG00000162482	24	4	13	5	3	3	11	13	15	9	15	23	17	30	12	22	13	32	16	19	22	12	10
ENSG00000236782	65	5	4	2	7	7	10	14	3	16	16	16	11	11	14	3	8	9	35	4	18	21	9
ENSG00000215910	0	0	1	1	0	1	4	0	0	5	1	1	1	2	2	17	1	0	1	0	1	0	7
ENSG00000116663	381	21	39	180	149	463	382	17	22	23	11	38	44	41	66	26	23	50	86	43	100	69	135
ENSG00000215695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215906	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0
ENSG00000188822	47	19	23	136	61	101	71	99	82	229	75	11	34	131	42	53	73	32	71	124	153	21	29
ENSG00000090273	2655	157	204	289	331	561	789	357	228	213	306	480	324	528	467	160	332	373	532	274	362	377	306
ENSG00000227868	3	0	0	0	0	0	0	0	0	1	1	3	0	0	0	7	2	3	1	0	0	0	1
ENSG00000142751	1396	114	188	142	197	386	590	399	398	220	350	486	363	536	355	202	229	307	402	373	493	396	267
ENSG00000189266	7959	875	1065	984	770	2306	1813	4008	4123	1235	1946	3592	2504	1611	2652	1424	2713	2064	3740	3346	3203	2668	2474
ENSG00000162511	28520	2648	1934	13726	12981	13215	15664	9009	11253	4018	4987	5859	8361	5999	14077	4113	5604	12688	12524	14126	17293	6617	27859
ENSG00000158014	3	3	0	0	0	5	0	0	1	10	1	1	8	5	3	12	0	7	3	1	3	5	14
ENSG00000204138	3059	366	594	363	441	801	730	888	1645	697	894	2142	1558	1362	1013	695	1314	1334	712	1326	1093	1282	361
ENSG00000142675	349	8	37	8	19	28	25	7	2	13	14	15	15	11	8	26	2	13	24	3	23	8	5
ENSG00000197245	20	0	0	0	1	0	7	4	1	2	1	3	3	3	2	5	2	3	5	1	2	1	2
ENSG00000116237	777	163	266	159	105	655	434	123	64	123	153	61	90	116	210	85	8	63	424	140	158	185	149
ENSG00000158195	13382	693	1005	2081	1407	3347	4259	2759	2361	1714	2096	3492	2816	2964	2429	1520	4501	2484	2819	2209	3776	2271	1850
ENSG00000130772	151	54	79	32	88	203	1143	91	55	57	64	46	63	65	46	29	34	44	69	69	90	58	80
ENSG00000204160	1365	81	125	1119	1908	671	3456	257	1667	142	204	561	1093	330	674	498	175	409	469	549	541	486	924
ENSG00000090020	631	59	97	405	664	435	878	134	132	176	112	127	179	215	208	159	111	191	173	217	211	100	378
ENSG00000157978	681	39	127	174	98	406	581	27	60	39	26	122	76	77	182	38	66	74	135	45	114	59	64
ENSG00000158246	0	0	0	1	0	0	2	1	0	1	1	1	1	0	3	12	0	2	1	1	15	1	5
ENSG00000130770	2506	151	271	273	327	751	763	393	188	219	249	351	241	292	378	69	383	152	354	214	296	389	242
ENSG00000117305	623	82	133	122	144	375	636	71	52	111	102	54	93	115	54	31	124	27	146	31	74	84	93
ENSG00000162512	0	8	1	68	13	292	349	43	32	28	1	5	72	15	56	40	9	24	9	47	24	2	108
ENSG00000198746	442	25	42	54	51	133	296	233	185	92	198	226	171	282	280	142	131	224	273	259	351	215	166
ENSG00000158006	321	63	102	61	76	204	303	92	83	85	56	60	115	114	53	84	432	64	113	95	139	63	67
ENSG00000188529	6825	580	823	758	628	1579	1104	5241	3605	1868	3179	3772	4441	2705	3424	1425	3777	3005	4586	3077	4925	3023	2018
ENSG00000142784	3432	269	355	923	1237	850	1587	437	274	385	518	455	284	1135	384	132	410	226	732	347	594	379	316
ENSG00000117682	958	119	220	175	128	273	264	323	251	169	207	300	278	487	320	168	257	286	386	313	290	325	195
ENSG00000175793	7	0	1	0	4	2	9	5	13	3	0	7	21	3	7	14	2	10	5	10	7	3	20
ENSG00000126698	3741	357	410	516	463	1457	895	978	754	497	565	850	639	820	1073	339	944	853	1062	688	1065	914	664
ENSG00000130766	1186	48	56	347	603	782	678	176	230	111	194	117	294	354	126	249	82	295	110	264	197	165	554
ENSG00000168528	57	5	1	82	23	327	148	4	2	9	2	5	21	5	28	33	19	24	5	24	20	4	124
ENSG00000196581	1	0	0	4	0	2	9	0	3	5	2	5	5	6	0	67	1	4	0	0	6	0	5
ENSG00000169403	117	182	77	801	884	3197	5733	243	408	425	5	55	520	50	808	198	4	601	315	1232	1333	230	3987
ENSG00000117676	3374	387	569	1382	2099	1892	5377	696	988	729	419	444	1063	840	924	481	285	517	1195	627	1005	1219	2320
ENSG00000198830	10561	915	1249	2932	1883	4632	4123	2534	1076	1517	1504	1267	1357	1392	2002	319	1010	1251	4019	1901	3140	2027	3743
ENSG00000084628	1	0	0	0	0	2	3	1	0	0	0	1	0	0	2	24	0	0	0	0	4	0	2
ENSG00000060688	746	190	259	139	145	410	216	518	562	248	261	643	502	700	318	264	303	425	700	488	564	587	286
ENSG00000171612	495	35	76	53	50	183	105	474	87	133	283	252	132	257	245	69	56	119	683	284	230	205	241
ENSG00000162458	0	0	0	1	0	11	5	3	6	8	4	9	18	3	2	22	2	5	1	8	8	1	7
ENSG00000188910	1	0	0	0	1	2	0	1	0	6	1	6	5	6	3	8	2	3	1	0	1	0	2
ENSG00000116138	658	187	241	211	147	352	262	334	423	279	533	418	426	453	262	189	225	271	508	216	368	445	210
ENSG00000142765	5360	113	349	771	863	556	1888	260	312	602	640	1054	213	435	357	141	260	255	1033	517	722	957	172
ENSG00000158161	746	228	385	163	198	588	475	291	302	299	285	210	336	364	273	141	357	179	485	203	286	229	207
ENSG00000142684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000060642	521	103	193	68	97	194	263	119	253	97	229	217	122	64	230	161	73	220	225	263	182	97	116
ENSG00000121769	30	7	11	2	3	10	20	20	43	17	23	19	65	21	21	34	34	28	22	29	41	20	14
ENSG00000157330	0	0	0	0	0	0	0	0	0	7	0	3	5	5	0	32	2	4	0	5	3	3	9
ENSG00000162413	1168	125	208	229	432	564	2252	456	254	136	251	250	445	408	304	314	259	395	581	965	397	277	782
ENSG00000142627	1	1	1	3	2	11	5	0	0	3	1	1	7	2	0	22	1	8	3	2	5	0	5
