Geneid	AML_PB.bam	CD34_PB.bam
ENSG00000284662	0	0
ENSG00000186827	394	226
ENSG00000186891	194	154
ENSG00000160072	2936	1516
ENSG00000041988	463	528
ENSG00000260179	34	7
ENSG00000234396	0	0
ENSG00000225972	2067	9062
ENSG00000224315	8	120
ENSG00000198744	4732	26821
ENSG00000279928	12	127
ENSG00000228037	25	5
ENSG00000142611	3	380
ENSG00000225630	88297	12905
ENSG00000067606	20	313
ENSG00000131584	7373	1061
ENSG00000227589	36	0
ENSG00000237402	0	9
ENSG00000284616	0	1
ENSG00000169972	339	164
ENSG00000157911	412	486
ENSG00000269896	89	21
ENSG00000237973	112909	24594
ENSG00000224051	582	322
ENSG00000228750	0	1
ENSG00000228463	289	247
ENSG00000238260	34	3
ENSG00000260972	0	0
ENSG00000157933	2006	99
ENSG00000162591	10347	2078
ENSG00000224340	1	0
ENSG00000270035	2	1
ENSG00000169962	100	9
ENSG00000226545	0	3
ENSG00000233653	122	4
ENSG00000268663	1	0
ENSG00000226374	0	0
ENSG00000116285	87	24
ENSG00000229280	5	5
ENSG00000142655	1042	210
ENSG00000232596	0	0
ENSG00000235054	0	0
ENSG00000232663	0	0
ENSG00000284646	0	0
ENSG00000240409	65	646
ENSG00000229344	2223	23430
ENSG00000231510	0	0
ENSG00000149527	72	7
ENSG00000284739	0	0
ENSG00000007923	1750	798
ENSG00000171621	41	13
ENSG00000272235	0	0
ENSG00000236679	35	36
ENSG00000284694	0	0
ENSG00000162441	1971	406
ENSG00000230021	189	38
ENSG00000271264	0	1
ENSG00000287356	38	109
ENSG00000224387	0	0
ENSG00000187017	25	4
ENSG00000285629	0	0
ENSG00000173673	0	0
ENSG00000227372	943	1171
ENSG00000142583	1246	3412
ENSG00000223663	0	0
ENSG00000107404	3196	294
ENSG00000284674	1	0
ENSG00000177000	2287	896
ENSG00000272161	1	2
ENSG00000237094	2250	86
ENSG00000069424	21547	2397
ENSG00000224338	0	0
ENSG00000074800	63687	46647
ENSG00000234546	49	5
ENSG00000116786	9354	1844
ENSG00000287727	23	4
ENSG00000176022	975	906
ENSG00000223989	0	0
ENSG00000228423	1	13
ENSG00000286448	0	0
ENSG00000162496	2907	91
ENSG00000237365	0	0
ENSG00000131686	6	2
ENSG00000229305	0	0
ENSG00000284703	2	1
ENSG00000226457	223	83
ENSG00000162494	79	1
ENSG00000173614	410	131
ENSG00000248527	41837	29497
ENSG00000237728	0	0
ENSG00000215720	1	0
ENSG00000279804	0	0
ENSG00000116273	4555	157
ENSG00000241326	0	0
ENSG00000285701	12	5
ENSG00000233623	9	0
ENSG00000162592	8	2
ENSG00000116254	902	1
ENSG00000049245	6263	1187
ENSG00000179743	636	460
ENSG00000233645	0	0
ENSG00000234064	0	0
ENSG00000204624	38	1
ENSG00000284708	2	3
ENSG00000171603	11865	1443
ENSG00000280113	1	2
ENSG00000142606	32	30
ENSG00000235146	0	0
ENSG00000177674	3804	901
ENSG00000162572	875	118
ENSG00000171608	11809	3173
ENSG00000225931	36	10
ENSG00000236601	0	0
ENSG00000171729	86	9
ENSG00000228150	18	7
ENSG00000175262	478	6
ENSG00000279457	6191	1155
ENSG00000162571	40	93
ENSG00000231181	46	579
ENSG00000238173	20	2
ENSG00000158109	1769	598
ENSG00000229393	1	0
ENSG00000269978	5	2
ENSG00000037637	4070	1923
ENSG00000184163	35	3
ENSG00000287586	0	0
ENSG00000159423	1483	468
ENSG00000142599	14852	1185
ENSG00000227169	0	0
ENSG00000283356	0	0
ENSG00000011021	2855	1581
ENSG00000272482	97	1
ENSG00000284747	47	5
ENSG00000215912	78	8
ENSG00000120952	0	0
ENSG00000243073	0	0
ENSG00000142615	6	0
ENSG00000215704	13	0
ENSG00000065526	24302	4155
ENSG00000175756	2306	1291
ENSG00000229484	105	0
ENSG00000157916	4323	1615
ENSG00000157881	1490	493
ENSG00000116213	1784	1022
ENSG00000283611	3	0
ENSG00000238290	1	0
ENSG00000225387	0	0
ENSG00000127463	3178	1201
ENSG00000048707	4905	856
ENSG00000158748	9	1
ENSG00000235643	1	0
ENSG00000225196	6	1
ENSG00000130762	28	18
ENSG00000187144	17	5
ENSG00000162444	5	19
ENSG00000279169	0	0
ENSG00000279625	0	0
ENSG00000180758	295	54
ENSG00000231219	0	0
ENSG00000229010	0	1
ENSG00000184677	4848	617
ENSG00000230679	10	48
ENSG00000270136	0	2
ENSG00000132879	1563	446
ENSG00000187545	0	0
ENSG00000288398	265	46
ENSG00000224621	0	0
ENSG00000239810	0	0
ENSG00000285833	0	0
ENSG00000224459	0	0
ENSG00000116731	6233	1603
ENSG00000116721	0	0
ENSG00000215785	4	3
ENSG00000131697	2303	219
ENSG00000284692	0	1
ENSG00000284745	0	0
ENSG00000225952	0	0
ENSG00000280222	0	0
ENSG00000088280	20	10
ENSG00000188807	3223	551
ENSG00000284693	10	0
ENSG00000232298	10	1
ENSG00000227634	0	0
ENSG00000225315	0	0
ENSG00000198793	7891	535
ENSG00000078900	591	5
ENSG00000142661	0	1
ENSG00000285945	0	0
ENSG00000171819	1	1
ENSG00000229162	58	2
ENSG00000197921	1	2
ENSG00000233755	0	0
ENSG00000116288	7925	4255
ENSG00000238164	291	24
ENSG00000233929	37	32
ENSG00000287810	0	0
ENSG00000271742	16	3
ENSG00000142677	6	0
ENSG00000131910	1	0
ENSG00000185436	1143	1
ENSG00000131914	11	0
ENSG00000226396	110	1251
ENSG00000232423	1	0
ENSG00000229247	0	1
ENSG00000169504	525	2237
ENSG00000224311	0	0
ENSG00000225159	129	1419
ENSG00000260063	63	24
ENSG00000272088	2	0
ENSG00000228338	0	0
ENSG00000270728	185	8
ENSG00000169641	2395	1803
ENSG00000181773	207	31
ENSG00000175707	1	1
ENSG00000241547	173	174
ENSG00000224129	0	0
ENSG00000234166	0	0
ENSG00000230228	24	620
ENSG00000237436	43	49
ENSG00000233954	638	369
ENSG00000174950	3	1
ENSG00000235282	1	3
ENSG00000055070	8943	576
ENSG00000225891	21	11
ENSG00000175087	3314	1093
ENSG00000171735	1269	996
ENSG00000157191	3377	1538
ENSG00000270733	12	5
ENSG00000284699	1	1
ENSG00000133226	16991	6275
ENSG00000229985	85	12
ENSG00000162482	137	92
ENSG00000230035	0	0
ENSG00000235185	1	3
ENSG00000236782	25	54
ENSG00000215910	3	7
ENSG00000116663	1563	308
ENSG00000225643	3	7
ENSG00000215695	0	0
ENSG00000284666	0	0
ENSG00000243659	16	11
ENSG00000240553	3	4
ENSG00000228943	0	0
ENSG00000215906	0	0
ENSG00000230703	0	0
ENSG00000188822	505	31
ENSG00000232848	63	120
ENSG00000234397	5	261
ENSG00000090273	4307	4047
ENSG00000284309	0	0
ENSG00000227868	0	1
ENSG00000269925	125	19
ENSG00000142751	1878	416
ENSG00000189266	15707	10620
ENSG00000162511	53846	13183
ENSG00000158014	2	6
ENSG00000204138	3624	5474
ENSG00000233419	0	3
ENSG00000235263	0	0
ENSG00000228176	0	0
ENSG00000229106	19	15
ENSG00000236155	3	5
ENSG00000231251	0	0
ENSG00000142675	89	277
ENSG00000197245	6	33
ENSG00000231949	0	0
ENSG00000261025	7	0
ENSG00000116237	1977	399
ENSG00000158195	19483	2085
ENSG00000130772	275	29
ENSG00000215899	116	162
ENSG00000237429	18	4
ENSG00000271398	52	21
ENSG00000225011	0	0
ENSG00000215905	1	1
ENSG00000240731	162	3
ENSG00000235069	0	1
ENSG00000172746	22	70
ENSG00000284676	0	0
ENSG00000237058	0	0
ENSG00000204160	2503	497
ENSG00000233399	0	0
ENSG00000090020	1314	313
ENSG00000225990	1	15
ENSG00000157978	662	495
ENSG00000226944	0	0
ENSG00000158246	34	1
ENSG00000270282	0	4
ENSG00000130770	4719	2968
ENSG00000117305	843	877
ENSG00000235131	2	0
ENSG00000229044	3	2
ENSG00000162512	4	2
ENSG00000179840	144	59
ENSG00000272449	163	77
