Gene name,Gene,CD34.BM_SRR10758269,CD34.BM_SRR10758270,CD34.BM_SRR10761684,CD34.BM_SRR10761685,CD34.BM_SRR10761686,MB.AML_SRR13443190,MB.AML_SRR13443192,MB.AML_SRR13443194,MB.AML_SRR13443195,MB.AML_SRR13443201,MB.AML_SRR13443202,MB.AML_SRR13443204,MB.AML_SRR13443205,MB.AML_SRR13443206,MB.AML_SRR13443207,MB.AML_SRR13443209,MB.AML_SRR13443210,MB.AML_SRR13443211,MB.AML_SRR13443212,MB.AML_SRR13443213
CACNA2D4,ENSG00000151062,26.59096749,57.7819679,28.86065477,38.81311402,39.12242229,243.9855278,1156.690984,2410.823795,44.83467167,800.5461662,367.3930885,91.45671464,350.5144967,3146.208768,2025.716666,151.8072023,314.2390568,3007.309955,1026.091682,43.95557562
MYRF,ENSG00000124920,3.116129003,1.945520805,16.65037775,4.704619881,9.205275834,22.9633438,33.5272749,75.93145809,1401.511301,434.605285,52.48472693,13.87619119,41.42444052,778.7062847999999,224.20383340000004,281.3493483,32.5609549,39.91236525,95.46279165,23.27059886
OSBPL5,ENSG00000021762,96.80774103,113.42386289999999,94.35214061,64.68852337,77.09418511,861.1253923,441.44245290000003,455.58874860000003,1152.695986,742.114105,211.10523500000002,1108.2030869999999,1290.530647,1937.939066,748.8057716,1049.156443,1272.978285,828.6154088999999,631.4410353,770.5153843999999
SLC7A6,ENSG00000103064,116.7509667,91.63402990000002,216.4549108,188.18479530000002,181.8041977,278.4305435,268.2181992,360.67442589999996,442.52847689999993,547.4303249,307.910398,234.63377830000002,245.3601477,370.71911289999997,393.2325046,259.084292,361.2715473,196.9588459,251.7231154,134.452349
SMPD4,ENSG00000136699,868.3612822000001,833.0720086,555.0125918,506.9227922,578.7817181,2635.043701,2481.018343,3739.624311,874.1049728,631.1739703,682.30145,1100.634256,726.5209567,1398.53295,994.0287143999999,817.060098,812.9901915,839.8949903999999,730.1036971,874.9745171
ZNF317,ENSG00000130803,306.6270939,337.15875550000004,422.919595,414.0065496,440.7025806,1265.854327,994.6424887000001,1006.0918199999999,545.2032975,556.8548509,1151.165011,948.6268884,331.39552410000005,763.0144705,506.2102175,628.8191671,948.4024166000002,470.2717818,756.2359696000001,436.9701341
BMPR2,ENSG00000204217,266.53290069999997,255.6414337,531.702063,470.4619881,548.8645716,11.4816719,94.99394555,37.96572905,9.582983257,32.04338842,185.4460351,11.983983300000002,31.86495424,19.61476788,94.58599221,12.14457619,96.13234305,53.79492707,196.2587002,18.61647909
CD22,ENSG00000012124,877.5019273,389.29871299999996,154.2935005,145.84321630000002,139.229797,20.09292582,5.58787915,626.4345293,44.15017286,54.39297867,92.13985394,85.14935501,73.28939476,109.84270009999999,101.592362,29.68674179,119.39016799999999,29.50044388,43.1982465,46.54119772
CD79B,ENSG00000007312,4380.861895,1646.494257,32.19073032,38.81311402,40.27308177,37.31543367,22.351516600000004,265.7601033,367.2336084,138.40589619999997,174.9490898,263.0168966,544.8907176,655.1332472,361.70384060000004,273.9276629,35.66199823,272.4452758,349.8524655,130.31535359999998
CDCP1,ENSG00000163814,135.8632245,121.01139409999999,193.1443819,157.60476599999998,176.0509003,77.50128531,11.175758300000002,37.96572905,3.764743423,10.23234252,99.13781753,91.45671464,3.186495424,11.76886073,21.8949056,14.16867222,2.067362216,5.205960684,23.99902583,36.71583375
CHST2,ENSG00000175040,343.60515810000004,434.24024360000004,410.7093179,368.1365057,321.0339947,91.85337518,2162.509231,208.8115098,57.49789954,106.09323559999999,100.3041448,47.93593319,570.3826809,188.3017716,294.26753130000003,95.13251347,188.6468022,117.13411540000001,172.2596743,401.8056736
DDX60,ENSG00000137628,316.1832229,319.06541200000004,745.9369234000001,585.7251752000001,654.7252437000001,74.63086733,33.5272749,56.94859357,189.60616869999998,154.56222649999998,158.620508,162.72987849999998,101.9678536,115.72713049999999,191.7993731,160.57828510000002,92.51445917,104.98687379999998,230.390648,194.955906
EPSTI1,ENSG00000133106,297.4864488,446.6915768,768.1374271000001,833.893874,804.310976,241.1151099,128.5212205,227.79437430000002,95.14533377,97.7457983,261.2573074,55.50476475,76.47589018,31.38362861,308.2802709,27.66264576,37.72936044,56.39790741,197.3253235,64.64055238
FKBP9,ENSG00000122642,109.47999899999999,162.061883,178.7140546,161.1332309,248.5424475,37.31543367,89.40606640000001,18.98286452,40.04318004,43.62209179999999,122.4643628,20.18355082,38.23794509,54.92135006,54.2993659,47.90360607,47.54933097,118.0017755,67.73058402,8.791115124
IFI6,ENSG00000126709,405.5122543,651.3603654,7185.193014,6936.962015000001,6501.226058,126.2983909,72.64242895,322.70869689999995,817.9760709,125.480832,875.911776,275.6316158,1019.6785359999999,176.53291090000002,1244.506434,335.9999412,180.8941939,503.2428662,556.7773994,371.2953329
LGMN,ENSG00000100600,570.6670915,307.9759434,712.6361678999999,913.8724118999999,813.5162518,51.66752354,83.81818725,56.94859357,11.29423027,14.271425099999998,23.3265453,41.62857356,54.17042221,9.80738394,60.42993946,10.12048016,27.39254936,9.544261255,127.99480449999999,7.756866286
MAGEH1,ENSG00000187601,255.93806209999997,224.90220499999998,59.94135992,56.45543858,74.79286615,22.9633438,50.29091235,18.98286452,61.94714177,82.93582886,59.48269052,69.38095593,60.54341306,25.49919824,29.77707162,60.72288094,115.77228410000001,5.205960684,45.86480493,66.70905006
NEDD4L,ENSG00000049759,177.82709509999998,243.7737568,122.10277020000001,129.3770467,103.5593531,40.18585164,94.99394555,37.96572905,3.4224940210000003,6.731804291,644.9789776,14.50692715,57.35691764,3.9229535760000003,17.51592448,4.72289074,23.77466548,10.41192137,52.26454515,132.9009757
OAS2,ENSG00000111335,785.2645087999999,590.8546683999999,4289.13731,4419.990378,4122.812914,551.1202511,251.45456180000002,322.70869689999995,463.4056904,301.5848322,1214.146683,193.00520469999998,592.6881489,178.49438769999998,989.6497332999999,363.66258700000003,103.8849514,307.1516804,750.9028528,298.3807898
OAS3,ENSG00000111331,794.8206378,691.6326461,3125.830917,2713.389517,2667.228673,439.1739501,173.2242537,341.69156139999996,447.31996849999996,335.2438537,1716.833734,155.1610469,325.0225333,125.5345144,914.331258,253.0120039,174.6921073,125.8107165,677.8391518999999,174.78805359999998
PCDH9,ENSG00000184226,424.8322541,695.7182397999999,178.7140546,124.6724269,81.69682303,17.22250785,22.351516600000004,56.94859357,3.4224940210000003,20.73395722,2.33265453,7.568831556,44.61093594,17.65329109,5.254777345,5.397589417000001,304.4190863,1.7353202280000002,3.199870111,5.171244191
PLXNC1,ENSG00000136040,602.4516073,875.4843620999999,1400.851782,1265.542748,1158.7140960000002,396.1176805,94.99394555,341.69156139999996,92.74958796,702.5310958,1288.791628,536.7563044999999,465.2283319,355.0272986,65.68471681,52.62649681,87.34605363,278.5188966,32.532012800000004,452.48386669999996
RRAGA,ENSG00000155876,487.77806,509.9210029,377.4085624,463.40505830000006,508.5914898,358.80224680000003,536.4363984,303.72583239999994,189.26391930000003,294.5837558,214.60421680000002,223.91126690000002,379.19295550000004,351.104345,285.5095691,245.5903185,273.40865310000004,314.0929613,227.72408959999999,355.7816003
SOD2,ENSG00000112096,2437.8515899999998,3556.9956869999996,4785.318567,5654.953097,5821.1863060000005,473.61896579999996,614.6667065,645.4173937999999,596.5407078,1271.503194,3852.378956,913.9364104,802.9968468999999,633.5570025000001,1198.965031,775.9034787,879.6626229,3040.28104,1137.553825,882.2142589
SP110,ENSG00000135899,697.8051548,503.30623219999995,1399.741757,1716.010102,1488.953366,473.61896579999996,575.5515525000001,493.55447760000004,399.4050522,379.673762,626.3177413,507.1117143,920.8971776000001,468.7929523,854.7771147,404.8192063,361.2715473,538.8169307999999,580.7764252000001,559.5286214
TAL1,ENSG00000162367,628.8348329,984.044423,647.1446821000001,891.5254675000001,883.7064801000001,347.3205749,3375.079007,170.84578069999998,202.95389540000002,210.84011040000001,157.45418080000002,75.0575796,544.8907176,41.19101255,42.03821876,16.86746693,43.93144709,7.808941027,98.66266177,1307.290531
TRIM5,ENSG00000132256,311.6129003,323.1510057,511.72160959999997,498.6897074,570.7271017,255.4671997,257.0424409,189.82864519999998,385.71507610000003,316.6640738,242.59607110000002,278.1545597,165.6977621,160.84109660000001,199.68153909999998,317.10837819999995,320.4411435,121.472416,263.9892842,313.89452239999997
XAF1,ENSG00000132530,441.2438669,339.88248460000005,3351.166029,2719.270291,2824.869022,832.4212126,687.3091355,436.605884,931.9451218,1765.886902,404.715561,373.3956901,822.1158195,1702.561852,1309.3153550000002,415.61438510000005,1077.095715,300.2103995,733.8368789,529.0182807
